type d'organisme BOSPL,code pivot organisme,url 
Association de formation professionnelle des adultes (Afpa) d'Annonay,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.rhone-alpes.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Arras,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Auray,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Auray - Saint-Goustan,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Aurillac,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Aurillac,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Avignon - Le Pontet,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Égletons,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Elbeuf,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Épinal-Golbey,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.lorraine.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Évreux,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Hazebrouck,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Île-de-France,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.idf.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Issoudun,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Istres,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.paca.afpa.fr
Association de formation professionnelle des adultes (Afpa) d'Orléans - Olivet,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) de Auray,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) de Bastia,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
Association de formation professionnelle des adultes (Afpa) de Bayonne,Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.aquitaine.afpa.fr
